,time,city_id
40474,0.0,60966
40475,1.0,7347
40476,2.0,36073
40477,3.0,54384
40478,4.0,54384
40479,9.0,45682
40480,11.0,40228
40481,12.0,46883
40482,13.0,55055
40483,14.0,40871
40484,15.0,735
40485,16.0,8766
40486,17.0,8766
40487,19.0,56872
40488,20.0,56872
40489,21.0,41068
40490,22.0,1910
40491,23.0,2584
40492,24.0,60143
40493,28.0,2078
40494,29.0,8608
40495,30.0,42618
40496,31.0,66794
40497,34.0,64091
40498,35.0,50155
40499,36.0,712
40500,37.0,4832
40501,38.0,4832
40502,52.0,39550
40503,53.0,23496
40504,54.0,57022
40505,55.0,2078
40506,56.0,2078
